alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version
,ground,,,A2,1,none,C2702   ,9.2,,ae2126,38.677261,-121.396408,20112441,[],10,1,,,,8,,2702,186,-15.7,2,1.3,2.03,3,perhour,,1200,C27J,[],,adsb_icao,2
0,5375,,-1115,A0,1,,C2714   ,251,,ae4cf7,26.286873,-97.339249,18482010,"['gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2714,0,-8.9,,0.2,6.97,,,0,,C27J,[],276,mlat,0
0,25000,26400,64,A3,1,none,C2012   ,340.6,2,ae5deb,35.950432,-84.721245,6960357,[],10,1,,,,8,1,2012,186,-10.1,2,0.1,0.11,3,perhour,0,5710,C30J,[],93.53,adsb_icao,2
0,325,475,,A7,1,none,C6542   ,109,2,ae2683,38.799683,-76.87056,8052641,[],11,1,,,,10,1,6542,25,-12.8,2,0.2,0.17,3,perhour,0,5147,AS65,[],359.47,adsb_icao,2
0,1850,1950,,A7,1,none,C6533   ,76.2,2,ae267b,39.523315,-74.705688,6727322,[],11,1,,,,10,1,6533,25,-17.5,2,0.4,0.4,3,perhour,0,4440,AS65,[],160.85,adsb_icao,2
0,2400,2525,,A7,1,none,C6511   ,75,2,ae2665,38.893845,-76.786972,5037411,[],11,1,,,,10,1,6511,25,-16.7,2,0.1,0.19,3,perhour,0,5147,AS65,[],316.08,adsb_icao,2
,ground,,,A3,1,none,C2010   ,10.2,,ae57d4,57.750664,-152.496063,13669216,[],10,2,,,,10,,2010,25,-11.8,2,0.2,0.17,3,perhour,,1200,C30J,[],,adsb_icao,2
0,1000,950,,A2,1,none,C2317   ,148.7,2,ae4bf1,25.926407,-80.506981,10826149,[],10,1,,,,8,1,2317,186,-11.9,3,0,0.33,3,perhour,0,4427,CN35,[],95.4,adsb_icao,2
0,225,225,,A7,1,none,C6582   ,73.4,2,ae26a8,25.801666,-80.17878,6843188,[],11,1,,,,10,1,6582,25,-7.4,2,2.6,2.63,3,perhour,0,4425,AS65,[],11,adsb_icao,2
0,-25,275,,A7,1,none,C6605   ,54.1,2,ae26bc,39.445724,-74.544624,5359803,[],11,1,,,,10,1,6605,25,-11.5,2,1.3,1.26,3,perhour,0,4432,AS65,[],115.14,adsb_icao,2
0,1475,1475,1088,A2,1,none,C2312   ,126.2,2,ae270a,30.340256,-89.436249,14211954,[],11,1,2496,357.89,1013.6,8,1,2312,186,-6.2,3,0.1,0.12,3,perhour,0,0363,CN35,[],56.31,adsb_icao,2
0,300,425,,A7,1,none,C6516   ,131.3,2,ae266a,31.811829,-81.187973,5535873,[],11,1,,,,10,1,6516,25,-14.4,2,0,0.11,3,perhour,0,1200,AS65,[],16.36,adsb_icao,2
0,-50,-50,,A7,1,,C6584   ,6.1,2,ae26aa,29.649166,-94.979073,7708445,[],11,1,,,,8,1,6584,186,-25.1,2,3.3,3.29,3,perhour,0,,AS65,[],170.54,adsb_icao,2
0,875,950,,A7,1,none,C6059   ,29,2,ae6ced,44.620193,-86.195068,3362766,[],11,1,,,,8,1,6059,186,-6,2,0.1,0.12,3,perhour,0,1200,H60,[],316.4,adsb_icao,2
0,725,750,,A7,1,none,C6527   ,98,2,ae2675,42.55719,-82.843216,8307778,[],11,1,,,,10,1,6527,25,-19.8,2,0,0.5,3,perhour,0,4421,AS65,[],8.21,adsb_icao,2
0,600,500,,A7,1,none,C6579   ,124.6,2,ae26a5,25.86676,-80.421684,6813877,[],11,1,,,,9,1,6579,75,-7.7,2,0.2,0.4,3,perhour,0,4423,AS65,[],17.27,adsb_icao,2
0,150,225,,A7,1,none,C6052   ,60.1,2,ae4e04,36.261429,-76.185493,3868302,[],11,1,,,,10,1,6052,25,-3.2,2,12.4,19.19,3,perhour,0,1200,H60,[],92.86,adsb_icao,2
0,350,350,-127,A7,1,none,C6553   ,89.2,,ae268b,27.763,-97.512993,5212213,[],,1,,,,0,,6553,0,-29.2,,1.3,11.33,,,0,4430,AS65,[],312.27,adsb_icao,2
0,ground,-25,,A7,1,none,C6525   ,5.2,,ae2673,30.219498,-81.890327,3530828,[],11,1,,,,8,,6525,186,-28.2,2,26.2,26.15,3,perhour,0,1200,AS65,[],,adsb_icao,2
,,,,A7,1,,,134.9,,ae2915,,,998223,[],,1,,,,,,6038,,-27.4,,35.6,,,,,,H60,[],346.27,mode_s,0
0,725,850,,A7,1,none,C6565   ,96.3,2,ae2697,32.02319,-81.073494,5019867,[],11,1,,,,9,1,6565,75,-7.1,2,0.2,0.21,3,perhour,0,1200,AS65,[],246.1,adsb_icao,2
0,225,275,,A7,1,none,C6606   ,111.9,2,ae26bd,39.384682,-74.418396,8253609,[],11,1,,,,9,1,6606,75,-19.1,2,0,0,3,perhour,0,4433,AS65,[],317.9,adsb_icao,2
0,6225,,-1167,,1,,,245,,ae223f,28.196238,-95.453651,11786103,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2308,0,-13.6,,0.4,2.6,,,0,4422,CN35,[],119,mlat,
0,200,200,,A7,1,none,C6041   ,70.3,2,ae2918,30.300568,-89.12352,5717672,[],11,1,,,,10,1,6041,25,-8.9,2,1.5,5.05,3,perhour,0,1200,H60,[],65.62,adsb_icao,2
